year,index
2003,0.504740708
2004,0.705194384
2005,0.499861142
2006,0.54873061
2007,0.28033723
2008,0.392919254
2009,0.528683278
2010,0.742422503
2011,0.806695729
2012,0.897010926
2013,1.307602762
2014,2.177339337
2015,1.714110815
2016,1.35799902
2017,1.332365879
2018,1.132759577
2019,0.840727708
2020,0.599632573
2021,1.028429723
