year,catch_category,length,numbers
2016,Landings,390,163654.63
2016,Landings,400,136233.26
2016,Landings,410,107786.81
2016,Landings,420,77040.21
2016,Landings,430,59800.95
2016,Landings,440,46830.48
2016,Landings,450,38983.49
2016,Landings,460,30964.29
2016,Landings,470,19366.57
2016,Landings,480,15806.3
2016,Landings,490,10196.22
2016,Landings,500,8449.99
2016,Landings,510,7343.83
2016,Landings,520,3281.63
2016,Landings,530,8617.35
2016,Landings,540,3167.23
2016,Landings,550,2146.29
2016,Landings,560,2728.25
2016,Landings,570,1320.18
2016,Landings,580,1229.41
2016,Landings,590,499.58
2016,Landings,600,126.28
2016,Landings,610,446.3
2016,Landings,620,111.05
2016,Landings,630,227.96
2016,Landings,640,137.04
2016,Landings,650,269.64
2016,Landings,670,15.41
2017,Discards,170,2326.84
2017,Discards,180,2120.68
2017,Discards,190,21889.55
2017,Discards,200,21712.25
2017,Discards,210,52764.55
2017,Discards,220,66656.44
2017,Discards,230,98039.59
2017,Discards,240,155132.43
2017,Discards,250,207850.57
2017,Discards,260,257126.33
2017,Discards,270,318747.97
2017,Discards,280,359066.41
2017,Discards,290,406991.73
2017,Discards,300,271842.08
2017,Discards,310,215372.27
2017,Discards,320,88858.53
2017,Discards,330,40767.95
2017,Discards,340,25118.26
2017,Discards,350,16142.4
2017,Discards,360,14806.17
2017,Discards,370,2613.45
2017,Discards,380,5904.37
2017,Discards,390,7704.14
2017,Discards,400,4675.11
2017,Discards,410,7157.72
2017,Discards,420,2684.13
2017,Discards,430,1192.94
2017,Landings,210,127.9
2017,Landings,240,697.44
2017,Landings,250,2229.02
2017,Landings,260,15169.41
2017,Landings,270,61583.64
2017,Landings,280,133742.22
2017,Landings,290,259222.74
2017,Landings,300,343445.19
2017,Landings,310,477567.75
2017,Landings,320,477234.74
2017,Landings,330,421806.05
2017,Landings,340,402352.53
2017,Landings,350,333646.17
2017,Landings,360,275265.02
2017,Landings,370,221434.95
2017,Landings,380,183733.68
2017,Landings,390,149431.52
2017,Landings,400,116707.16
2017,Landings,410,122743.01
2017,Landings,420,82053.75
2017,Landings,430,60599.35
2017,Landings,440,49673.2
2017,Landings,450,47884.66
2017,Landings,460,34640.82
2017,Landings,470,27015.7
2017,Landings,480,15705
2017,Landings,490,11184.27
2017,Landings,500,9617.06
2017,Landings,510,6987.93
2017,Landings,520,4836.74
2017,Landings,530,4363.85
2017,Landings,540,3233.13
2017,Landings,550,2400.72
2017,Landings,560,1223.67
2017,Landings,570,551.18
2017,Landings,580,1299.61
2017,Landings,590,673.32
2017,Landings,600,163.85
2017,Landings,610,207.04
2017,Landings,620,882.34
2017,Landings,630,132.3
2017,Landings,650,134
2017,Landings,660,15.06
2017,Landings,690,364.22
2018,Discards,100,5887.55
2018,Discards,140,11775.08
2018,Discards,150,29741.05
2018,Discards,160,11775.08
2018,Discards,170,260.02
2018,Discards,180,24489.55
2018,Discards,190,21884.77
2018,Discards,200,52363.15
2018,Discards,210,41680.03
2018,Discards,220,59858.49
2018,Discards,230,105219.16
2018,Discards,240,155002.12
2018,Discards,250,230085.86
2018,Discards,260,322443.41
2018,Discards,270,292196.41
2018,Discards,280,377607.79
2018,Discards,290,277412.51
2018,Discards,300,240756.39
2018,Discards,310,139530.94
2018,Discards,320,44586.24
2018,Discards,330,26167.41
2018,Discards,340,14679.67
2018,Discards,350,2293.62
2018,Discards,360,3189.97
2018,Discards,370,634.94
2018,Discards,380,216.24
2018,Discards,390,322.47
2018,Discards,410,173
2018,Discards,420,113.23
2018,Discards,470,389.27
2018,Landings,230,138.64
2018,Landings,240,1832.34
2018,Landings,250,3221.84
2018,Landings,260,33374.35
2018,Landings,270,84655.95
2018,Landings,280,181247.94
2018,Landings,290,207897.65
2018,Landings,300,289576.75
2018,Landings,310,328889.91
2018,Landings,320,328411.57
2018,Landings,330,316810.15
2018,Landings,340,278414.54
2018,Landings,350,266091.55
2018,Landings,360,233624.75
2018,Landings,370,155100.4
2018,Landings,380,143951.31
2018,Landings,390,125625.69
2018,Landings,400,101510.32
2018,Landings,410,82350.81
2018,Landings,420,58066.52
2018,Landings,430,63156.87
2018,Landings,440,56622.32
2018,Landings,450,49027.61
2018,Landings,460,39520.31
2018,Landings,470,30684.28
2018,Landings,480,22013.86
2018,Landings,490,19713.52
2018,Landings,500,22614.37
2018,Landings,510,14395.98
2018,Landings,520,11809.32
2018,Landings,530,7545.42
2018,Landings,540,6398.23
2018,Landings,550,5536.36
2018,Landings,560,2573.85
2018,Landings,570,3320.22
2018,Landings,580,2819
2018,Landings,590,1893.29
2018,Landings,600,179.87
2018,Landings,610,659.99
2018,Landings,620,124.75
2018,Landings,630,407.28
2018,Landings,640,164.63
2018,Landings,650,364.16
2018,Landings,690,131.96
2019,Discards,180,1448.96
2019,Discards,190,5409.51
2019,Discards,200,23347.22
2019,Discards,210,22145.95
2019,Discards,220,58668.38
2019,Discards,230,66162.17
2019,Discards,240,97058.29
2019,Discards,250,111018.15
2019,Discards,260,151843.63
2019,Discards,270,135681.26
2019,Discards,280,112449.09
2019,Discards,290,81357.2
2019,Discards,300,42366.02
2019,Discards,310,20087.54
2019,Discards,320,10115.3
2019,Discards,330,995.72
2019,Discards,340,1965.89
2019,Discards,350,1830.12
2019,Discards,360,386.4
2019,Discards,370,680.28
2019,Landings,220,192.77
2019,Landings,230,298.13
2019,Landings,240,2285.89
2019,Landings,250,5699.08
2019,Landings,260,18269.05
2019,Landings,270,70471.88
2019,Landings,280,132688.02
2019,Landings,290,184550.89
2019,Landings,300,256427.4
2019,Landings,310,265277.09
2019,Landings,320,292510.43
